Record ID,Year,District,Crime_Type,Victim_Gender,Time_of_Incident,Location_Type,Number_of_Accused,Reported_To_Police,Crime_Severity
692,2023,Tirunelveli,Cyber Crime,Female,Night,Semi-Urban,3,Yes,Moderate
693,2022,Thoothukudi,Violent Crime,Female,Afternoon,Urban,4,Yes,Moderate
694,2019,Erode,Economic Offense,Male,Night,Urban,5,No,High
695,2024,Salem,Sexual Crime,Male,Afternoon,Urban,5,No,High
696,2024,Tirunelveli,Sexual Crime,Other,Morning,Semi-Urban,1,Yes,Low
697,2014,Tiruchirappalli,Economic Offense,Female,Afternoon,Semi-Urban,1,No,Low
698,2014,Coimbatore,Sexual Crime,Male,Evening,Rural,1,No,Moderate
699,2015,Vellore,Economic Offense,Male,Evening,Rural,2,Yes,Low
700,2022,Thoothukudi,Sexual Crime,Female,Evening,Rural,4,Yes,High
701,2016,Chennai,Violent Crime,Male,Morning,Semi-Urban,2,Yes,Low
702,2014,Dindigul,Sexual Crime,Other,Afternoon,Urban,4,Yes,Moderate
703,2018,Erode,Cyber Crime,Other,Morning,Urban,5,Yes,Low
704,2020,Dindigul,Economic Offense,Female,Night,Urban,2,Yes,Low
705,2019,Thoothukudi,Property Crime,Other,Night,Semi-Urban,2,No,Low
706,2014,Dindigul,Property Crime,Male,Night,Urban,2,No,Low
707,2018,Thoothukudi,Economic Offense,Male,Night,Rural,3,No,High
708,2018,Dindigul,Violent Crime,Male,Evening,Rural,4,Yes,Moderate
709,2019,Madurai,Sexual Crime,Male,Afternoon,Urban,4,Yes,Moderate
710,2016,Salem,Violent Crime,Female,Evening,Rural,2,Yes,Low
711,2018,Tirunelveli,Property Crime,Other,Afternoon,Urban,3,Yes,Low
712,2020,Tirunelveli,Economic Offense,Other,Afternoon,Urban,2,Yes,Very Low
713,2018,Tiruchirappalli,Economic Offense,Male,Morning,Rural,4,No,Moderate
714,2018,Chennai,Violent Crime,Female,Night,Rural,5,Yes,High
715,2018,Chennai,Violent Crime,Male,Afternoon,Rural,3,No,High
716,2023,Tiruchirappalli,Sexual Crime,Male,Night,Rural,3,Yes,Very High
717,2023,Vellore,Cyber Crime,Female,Night,Urban,2,No,Moderate
718,2016,Tirunelveli,Cyber Crime,Female,Night,Rural,5,No,High
719,2014,Vellore,Sexual Crime,Male,Evening,Rural,4,No,High
720,2018,Thoothukudi,Cyber Crime,Other,Night,Semi-Urban,1,No,Moderate
721,2022,Thoothukudi,Property Crime,Male,Afternoon,Rural,4,No,Moderate
722,2014,Coimbatore,Cyber Crime,Other,Evening,Rural,4,No,Moderate
723,2016,Dindigul,Sexual Crime,Other,Night,Urban,5,No,Very High
724,2017,Chennai,Cyber Crime,Female,Morning,Urban,3,Yes,Low
725,2014,Coimbatore,Economic Offense,Female,Night,Semi-Urban,4,Yes,Moderate
726,2014,Salem,Violent Crime,Male,Night,Rural,3,No,Very High
727,2021,Tiruchirappalli,Property Crime,Other,Evening,Rural,5,Yes,Low
728,2015,Tiruchirappalli,Economic Offense,Other,Afternoon,Rural,5,Yes,Moderate
729,2021,Thoothukudi,Economic Offense,Male,Night,Rural,2,No,Moderate
730,2020,Tirunelveli,Sexual Crime,Male,Evening,Rural,1,Yes,Moderate
731,2023,Vellore,Violent Crime,Male,Evening,Rural,5,No,High
732,2023,Chennai,Violent Crime,Female,Afternoon,Semi-Urban,5,Yes,Moderate
733,2015,Coimbatore,Property Crime,Male,Evening,Rural,3,No,Moderate
734,2019,Vellore,Sexual Crime,Male,Afternoon,Rural,5,Yes,High
735,2019,Coimbatore,Property Crime,Other,Morning,Rural,4,No,Moderate
736,2016,Dindigul,Cyber Crime,Male,Night,Semi-Urban,2,Yes,Low
737,2024,Salem,Economic Offense,Other,Evening,Rural,2,Yes,Low
738,2015,Salem,Property Crime,Other,Morning,Semi-Urban,4,Yes,Low
739,2014,Vellore,Economic Offense,Female,Evening,Urban,5,No,Moderate
740,2019,Vellore,Sexual Crime,Male,Evening,Rural,1,No,Moderate
741,2018,Vellore,Cyber Crime,Male,Morning,Semi-Urban,5,Yes,Low
742,2024,Coimbatore,Sexual Crime,Other,Evening,Urban,2,Yes,Low
743,2022,Dindigul,Cyber Crime,Female,Evening,Semi-Urban,1,No,Low
744,2014,Madurai,Cyber Crime,Female,Morning,Semi-Urban,3,Yes,Low
745,2020,Vellore,Economic Offense,Male,Evening,Urban,3,Yes,Low
746,2018,Tirunelveli,Sexual Crime,Other,Afternoon,Rural,5,No,High
747,2018,Chennai,Sexual Crime,Male,Evening,Rural,5,No,High
748,2015,Chennai,Property Crime,Male,Night,Semi-Urban,1,Yes,Low
749,2024,Coimbatore,Sexual Crime,Male,Evening,Urban,1,No,Moderate
750,2016,Vellore,Property Crime,Male,Night,Rural,5,Yes,Moderate
751,2020,Thoothukudi,Violent Crime,Other,Night,Semi-Urban,2,Yes,Moderate
752,2019,Tiruchirappalli,Violent Crime,Female,Evening,Urban,3,No,Moderate
753,2015,Madurai,Violent Crime,Male,Morning,Semi-Urban,1,Yes,Low
754,2019,Tirunelveli,Sexual Crime,Male,Afternoon,Urban,2,No,Moderate
755,2015,Dindigul,Sexual Crime,Male,Afternoon,Rural,5,No,High
756,2015,Thoothukudi,Property Crime,Male,Evening,Rural,4,Yes,Low
757,2015,Salem,Cyber Crime,Female,Morning,Semi-Urban,1,No,Low
758,2024,Thoothukudi,Property Crime,Female,Morning,Rural,4,Yes,Low
759,2016,Coimbatore,Violent Crime,Female,Afternoon,Rural,2,No,Moderate
760,2015,Madurai,Property Crime,Female,Morning,Urban,3,Yes,Low
761,2017,Erode,Cyber Crime,Male,Evening,Rural,2,No,Low
762,2022,Erode,Sexual Crime,Other,Evening,Urban,3,Yes,Moderate
763,2019,Vellore,Property Crime,Female,Morning,Urban,2,Yes,Very Low
764,2014,Vellore,Violent Crime,Female,Evening,Semi-Urban,1,No,Low
765,2021,Coimbatore,Violent Crime,Male,Night,Urban,1,Yes,Moderate
766,2020,Dindigul,Sexual Crime,Male,Afternoon,Rural,4,Yes,High
767,2023,Vellore,Property Crime,Male,Evening,Urban,2,Yes,Very Low
768,2016,Tiruchirappalli,Cyber Crime,Male,Morning,Urban,2,Yes,Very Low
769,2014,Madurai,Sexual Crime,Other,Afternoon,Semi-Urban,4,Yes,Moderate
770,2018,Coimbatore,Property Crime,Other,Evening,Rural,5,Yes,Low
771,2017,Chennai,Economic Offense,Female,Afternoon,Rural,2,No,Low
772,2023,Salem,Violent Crime,Other,Morning,Rural,2,No,Moderate
773,2021,Coimbatore,Cyber Crime,Female,Night,Urban,2,No,Moderate
774,2014,Coimbatore,Cyber Crime,Female,Night,Rural,5,No,High
775,2023,Erode,Cyber Crime,Other,Evening,Rural,1,Yes,Low
776,2014,Tirunelveli,Violent Crime,Female,Night,Urban,4,Yes,High
777,2017,Dindigul,Property Crime,Male,Evening,Semi-Urban,5,No,Low
778,2021,Tirunelveli,Sexual Crime,Female,Afternoon,Semi-Urban,3,Yes,Moderate
779,2018,Tiruchirappalli,Property Crime,Male,Evening,Urban,3,No,Low
780,2015,Chennai,Sexual Crime,Other,Evening,Semi-Urban,5,Yes,Moderate
781,2019,Erode,Cyber Crime,Other,Evening,Semi-Urban,5,Yes,Low
782,2018,Chennai,Property Crime,Female,Night,Semi-Urban,1,No,Low
783,2015,Tiruchirappalli,Cyber Crime,Male,Evening,Rural,3,Yes,Moderate
784,2024,Tirunelveli,Economic Offense,Female,Morning,Semi-Urban,4,No,Moderate
785,2024,Coimbatore,Cyber Crime,Other,Evening,Rural,2,No,Low
786,2024,Vellore,Cyber Crime,Female,Afternoon,Semi-Urban,2,No,Low
787,2016,Vellore,Sexual Crime,Female,Morning,Rural,1,Yes,Moderate
788,2022,Thoothukudi,Economic Offense,Male,Afternoon,Urban,1,Yes,Very Low
789,2020,Salem,Cyber Crime,Other,Afternoon,Urban,3,No,Moderate
790,2020,Dindigul,Cyber Crime,Female,Afternoon,Semi-Urban,4,Yes,Low
791,2024,Tiruchirappalli,Economic Offense,Male,Morning,Rural,4,No,Moderate
792,2019,Salem,Economic Offense,Female,Morning,Urban,5,No,Moderate
793,2021,Dindigul,Property Crime,Male,Night,Urban,1,Yes,Low
794,2017,Salem,Sexual Crime,Male,Morning,Urban,2,No,Moderate
795,2021,Tirunelveli,Economic Offense,Female,Evening,Urban,2,Yes,Very Low
796,2017,Dindigul,Economic Offense,Other,Afternoon,Semi-Urban,3,Yes,Low
797,2021,Tirunelveli,Violent Crime,Other,Night,Rural,2,Yes,Moderate
798,2022,Coimbatore,Economic Offense,Male,Morning,Urban,4,No,Moderate
799,2016,Erode,Sexual Crime,Other,Afternoon,Semi-Urban,4,No,High
800,2016,Tirunelveli,Cyber Crime,Male,Morning,Urban,1,Yes,Very Low
801,2024,Vellore,Cyber Crime,Other,Night,Urban,3,Yes,Moderate
802,2015,Salem,Cyber Crime,Female,Morning,Urban,2,No,Low
803,2023,Thoothukudi,Cyber Crime,Other,Morning,Urban,1,Yes,Very Low
804,2016,Madurai,Violent Crime,Male,Afternoon,Semi-Urban,5,Yes,Moderate
805,2016,Dindigul,Economic Offense,Male,Evening,Rural,5,No,Moderate
806,2018,Tiruchirappalli,Cyber Crime,Other,Morning,Semi-Urban,2,No,Low
807,2018,Thoothukudi,Property Crime,Female,Night,Semi-Urban,2,No,Low
808,2015,Vellore,Cyber Crime,Male,Morning,Semi-Urban,2,Yes,Very Low
809,2023,Tirunelveli,Economic Offense,Male,Morning,Urban,4,No,Moderate
810,2019,Erode,Cyber Crime,Male,Evening,Rural,2,No,Low
811,2018,Coimbatore,Violent Crime,Male,Afternoon,Urban,5,No,Moderate
812,2019,Madurai,Sexual Crime,Male,Night,Semi-Urban,2,No,High
813,2014,Chennai,Sexual Crime,Female,Afternoon,Urban,3,No,High
814,2018,Thoothukudi,Economic Offense,Other,Afternoon,Rural,5,No,Moderate
815,2022,Erode,Sexual Crime,Female,Afternoon,Rural,3,No,High
816,2023,Chennai,Sexual Crime,Female,Morning,Urban,5,Yes,Moderate
817,2015,Madurai,Property Crime,Male,Evening,Semi-Urban,1,No,Very Low
818,2014,Tiruchirappalli,Economic Offense,Female,Morning,Urban,5,Yes,Low
819,2023,Tiruchirappalli,Economic Offense,Male,Night,Semi-Urban,5,Yes,Moderate
820,2024,Salem,Sexual Crime,Female,Evening,Rural,3,No,High
821,2022,Madurai,Sexual Crime,Male,Afternoon,Urban,3,Yes,Moderate
822,2023,Madurai,Sexual Crime,Male,Evening,Rural,5,No,High
823,2022,Chennai,Violent Crime,Female,Night,Semi-Urban,5,Yes,High
824,2022,Erode,Cyber Crime,Female,Morning,Semi-Urban,4,No,Moderate
825,2019,Dindigul,Violent Crime,Other,Morning,Urban,1,Yes,Low
826,2021,Chennai,Economic Offense,Other,Afternoon,Urban,1,No,Low
827,2024,Coimbatore,Property Crime,Other,Morning,Urban,2,No,Very Low
828,2014,Tiruchirappalli,Cyber Crime,Female,Morning,Rural,5,Yes,Moderate
829,2023,Tiruchirappalli,Property Crime,Female,Night,Semi-Urban,5,Yes,Moderate
830,2017,Salem,Economic Offense,Male,Evening,Semi-Urban,5,No,Moderate
831,2014,Coimbatore,Economic Offense,Other,Morning,Rural,5,Yes,Moderate
832,2021,Tiruchirappalli,Property Crime,Male,Night,Urban,1,No,Low
833,2014,Chennai,Property Crime,Male,Night,Urban,3,Yes,Moderate
834,2016,Coimbatore,Property Crime,Male,Afternoon,Rural,4,No,Moderate
835,2017,Chennai,Economic Offense,Male,Night,Semi-Urban,3,Yes,Moderate
836,2021,Dindigul,Sexual Crime,Other,Afternoon,Semi-Urban,3,No,High
837,2019,Dindigul,Property Crime,Male,Morning,Semi-Urban,1,Yes,Very Low
838,2023,Tiruchirappalli,Cyber Crime,Female,Afternoon,Semi-Urban,4,No,Moderate
839,2020,Tiruchirappalli,Economic Offense,Female,Night,Rural,5,Yes,High
840,2021,Erode,Violent Crime,Female,Evening,Semi-Urban,1,No,Low
841,2015,Dindigul,Violent Crime,Other,Evening,Rural,1,Yes,Low
842,2023,Thoothukudi,Cyber Crime,Male,Morning,Urban,4,Yes,Low
843,2024,Thoothukudi,Sexual Crime,Other,Morning,Rural,2,No,Moderate
844,2021,Salem,Property Crime,Male,Evening,Semi-Urban,1,Yes,Very Low
845,2016,Dindigul,Economic Offense,Other,Afternoon,Urban,3,Yes,Low
846,2020,Chennai,Property Crime,Other,Morning,Rural,3,No,Moderate
847,2016,Chennai,Economic Offense,Male,Night,Rural,5,No,High
848,2020,Vellore,Violent Crime,Other,Morning,Rural,1,No,Moderate
849,2024,Coimbatore,Property Crime,Male,Afternoon,Urban,5,No,Low
850,2015,Tirunelveli,Cyber Crime,Female,Morning,Rural,1,Yes,Low
851,2023,Thoothukudi,Sexual Crime,Female,Night,Semi-Urban,4,Yes,High
852,2019,Tiruchirappalli,Cyber Crime,Female,Night,Urban,1,Yes,Low
853,2016,Salem,Sexual Crime,Other,Night,Urban,2,No,High
854,2016,Tirunelveli,Property Crime,Female,Afternoon,Rural,3,Yes,Low
855,2022,Madurai,Property Crime,Male,Afternoon,Semi-Urban,4,Yes,Low
856,2020,Salem,Sexual Crime,Female,Night,Urban,3,No,Very High
857,2018,Madurai,Violent Crime,Female,Night,Rural,5,Yes,High
858,2023,Dindigul,Economic Offense,Other,Afternoon,Semi-Urban,4,Yes,Low
859,2020,Madurai,Cyber Crime,Male,Afternoon,Rural,2,No,Low
860,2022,Madurai,Cyber Crime,Other,Afternoon,Rural,3,Yes,Moderate
861,2014,Erode,Cyber Crime,Other,Evening,Urban,1,No,Low
862,2020,Erode,Property Crime,Male,Afternoon,Urban,1,No,Very Low
863,2019,Erode,Cyber Crime,Other,Night,Rural,1,Yes,Moderate
864,2023,Dindigul,Economic Offense,Male,Evening,Urban,4,Yes,Low
865,2022,Tirunelveli,Economic Offense,Female,Afternoon,Urban,2,Yes,Very Low
866,2014,Salem,Sexual Crime,Male,Night,Semi-Urban,2,No,High
867,2017,Salem,Property Crime,Male,Morning,Semi-Urban,2,No,Very Low
868,2022,Tiruchirappalli,Economic Offense,Male,Evening,Rural,3,Yes,Moderate
869,2017,Erode,Violent Crime,Other,Night,Rural,4,Yes,High
870,2023,Dindigul,Property Crime,Male,Morning,Rural,1,No,Low
871,2016,Tiruchirappalli,Property Crime,Male,Night,Rural,3,Yes,Moderate
872,2022,Coimbatore,Economic Offense,Male,Afternoon,Semi-Urban,2,Yes,Very Low
873,2015,Tiruchirappalli,Violent Crime,Female,Afternoon,Urban,1,No,Low
874,2017,Tirunelveli,Sexual Crime,Male,Morning,Semi-Urban,4,Yes,Moderate
875,2019,Thoothukudi,Economic Offense,Other,Afternoon,Rural,5,Yes,Moderate
876,2015,Madurai,Violent Crime,Male,Night,Rural,2,Yes,Moderate
877,2021,Erode,Property Crime,Male,Morning,Semi-Urban,2,Yes,Very Low
878,2021,Thoothukudi,Violent Crime,Female,Night,Semi-Urban,2,No,Moderate
879,2014,Tiruchirappalli,Property Crime,Male,Night,Rural,2,No,Moderate
880,2016,Dindigul,Economic Offense,Other,Night,Urban,1,No,Moderate
881,2023,Madurai,Economic Offense,Male,Afternoon,Rural,4,No,Moderate
882,2022,Salem,Cyber Crime,Other,Afternoon,Semi-Urban,3,Yes,Low
883,2018,Chennai,Cyber Crime,Female,Night,Rural,1,Yes,Moderate
884,2019,Madurai,Cyber Crime,Male,Evening,Rural,4,Yes,Moderate
885,2017,Tirunelveli,Economic Offense,Female,Night,Urban,3,Yes,Moderate
886,2023,Tirunelveli,Sexual Crime,Male,Night,Rural,2,No,High
887,2015,Tiruchirappalli,Economic Offense,Other,Morning,Rural,4,Yes,Moderate
888,2024,Coimbatore,Violent Crime,Female,Night,Rural,2,Yes,Moderate
889,2021,Tirunelveli,Economic Offense,Male,Afternoon,Semi-Urban,4,No,Moderate
890,2024,Tirunelveli,Economic Offense,Other,Morning,Semi-Urban,5,No,Moderate
891,2019,Dindigul,Property Crime,Female,Evening,Urban,2,No,Very Low
892,2018,Tiruchirappalli,Property Crime,Male,Morning,Rural,2,Yes,Very Low
893,2022,Madurai,Property Crime,Female,Evening,Semi-Urban,2,No,Very Low
894,2014,Coimbatore,Economic Offense,Male,Morning,Urban,1,Yes,Very Low
895,2018,Thoothukudi,Sexual Crime,Other,Morning,Rural,3,Yes,High
896,2019,Chennai,Violent Crime,Other,Evening,Urban,2,No,Low
897,2018,Erode,Violent Crime,Female,Afternoon,Urban,2,No,Low
898,2019,Salem,Sexual Crime,Female,Afternoon,Urban,1,No,Moderate
899,2019,Tirunelveli,Sexual Crime,Male,Afternoon,Urban,1,Yes,Low
900,2020,Tiruchirappalli,Violent Crime,Other,Morning,Urban,5,Yes,Moderate
901,2017,Erode,Cyber Crime,Male,Night,Urban,4,Yes,Moderate
902,2024,Salem,Property Crime,Other,Morning,Urban,2,No,Very Low
903,2021,Salem,Property Crime,Female,Night,Rural,4,Yes,Moderate
904,2020,Thoothukudi,Violent Crime,Male,Night,Rural,1,Yes,Moderate
905,2022,Thoothukudi,Sexual Crime,Male,Afternoon,Urban,1,Yes,Low
906,2020,Thoothukudi,Cyber Crime,Other,Night,Rural,5,Yes,High
907,2016,Vellore,Violent Crime,Other,Morning,Urban,3,No,Moderate
908,2016,Vellore,Property Crime,Other,Morning,Rural,1,Yes,Very Low
909,2021,Salem,Economic Offense,Female,Afternoon,Semi-Urban,2,No,Low
910,2018,Thoothukudi,Sexual Crime,Male,Evening,Urban,5,No,High
911,2017,Dindigul,Economic Offense,Other,Morning,Semi-Urban,3,Yes,Low
912,2021,Tirunelveli,Violent Crime,Female,Night,Urban,5,Yes,High
913,2019,Erode,Property Crime,Other,Morning,Urban,1,No,Very Low
914,2015,Erode,Cyber Crime,Male,Morning,Semi-Urban,3,Yes,Low
915,2017,Vellore,Economic Offense,Other,Morning,Semi-Urban,4,No,Moderate
916,2024,Salem,Cyber Crime,Male,Evening,Semi-Urban,3,Yes,Low
917,2017,Tiruchirappalli,Property Crime,Female,Night,Urban,2,Yes,Low
918,2019,Madurai,Economic Offense,Female,Afternoon,Semi-Urban,4,No,Moderate
919,2019,Madurai,Cyber Crime,Other,Morning,Semi-Urban,4,Yes,Low
920,2014,Vellore,Cyber Crime,Male,Night,Rural,2,No,Moderate
921,2021,Tiruchirappalli,Economic Offense,Male,Night,Rural,4,No,High
922,2019,Vellore,Property Crime,Male,Afternoon,Semi-Urban,1,Yes,Very Low
923,2016,Madurai,Cyber Crime,Other,Morning,Semi-Urban,3,No,Moderate
924,2022,Tiruchirappalli,Violent Crime,Male,Evening,Semi-Urban,3,Yes,Moderate
925,2015,Thoothukudi,Economic Offense,Male,Night,Semi-Urban,2,Yes,Low
926,2024,Salem,Sexual Crime,Male,Afternoon,Rural,1,Yes,Moderate
927,2021,Erode,Sexual Crime,Male,Evening,Urban,4,No,High
928,2023,Dindigul,Property Crime,Other,Night,Semi-Urban,3,Yes,Moderate
929,2016,Coimbatore,Violent Crime,Other,Morning,Semi-Urban,3,Yes,Moderate
930,2018,Salem,Cyber Crime,Male,Night,Rural,3,No,High
931,2019,Thoothukudi,Sexual Crime,Male,Evening,Semi-Urban,3,No,High
932,2023,Madurai,Property Crime,Female,Evening,Semi-Urban,5,No,Low
933,2019,Thoothukudi,Violent Crime,Female,Morning,Rural,2,No,Moderate
934,2017,Vellore,Violent Crime,Male,Morning,Semi-Urban,4,Yes,Moderate
935,2016,Tiruchirappalli,Property Crime,Male,Afternoon,Semi-Urban,4,Yes,Low
936,2017,Erode,Property Crime,Female,Morning,Rural,2,Yes,Very Low
937,2014,Tirunelveli,Cyber Crime,Female,Afternoon,Urban,1,Yes,Very Low
938,2017,Vellore,Property Crime,Male,Evening,Semi-Urban,2,No,Very Low
939,2014,Salem,Cyber Crime,Other,Evening,Semi-Urban,3,No,Moderate
940,2014,Vellore,Cyber Crime,Other,Night,Urban,3,Yes,Moderate
941,2023,Salem,Economic Offense,Male,Night,Rural,2,No,Moderate
942,2019,Tirunelveli,Violent Crime,Male,Afternoon,Urban,2,No,Low
943,2018,Chennai,Violent Crime,Female,Morning,Semi-Urban,4,No,Moderate
944,2024,Erode,Violent Crime,Female,Morning,Urban,4,No,Moderate
945,2017,Dindigul,Economic Offense,Other,Night,Rural,5,No,High
946,2024,Dindigul,Cyber Crime,Male,Evening,Semi-Urban,5,Yes,Low
947,2016,Coimbatore,Cyber Crime,Female,Afternoon,Rural,3,Yes,Moderate
948,2014,Thoothukudi,Property Crime,Other,Evening,Rural,5,No,Moderate
949,2019,Chennai,Economic Offense,Other,Evening,Urban,5,No,Moderate
950,2015,Dindigul,Property Crime,Other,Morning,Urban,1,Yes,Very Low
951,2021,Vellore,Economic Offense,Female,Afternoon,Rural,2,Yes,Low
952,2023,Thoothukudi,Property Crime,Female,Evening,Rural,4,No,Moderate
953,2018,Chennai,Sexual Crime,Male,Night,Semi-Urban,5,No,Very High
954,2020,Tiruchirappalli,Violent Crime,Male,Night,Rural,4,No,Very High
955,2023,Tiruchirappalli,Violent Crime,Other,Morning,Rural,5,Yes,Moderate
956,2015,Thoothukudi,Cyber Crime,Other,Night,Urban,5,No,High
957,2021,Salem,Sexual Crime,Female,Night,Rural,3,No,Very High
958,2015,Salem,Violent Crime,Female,Evening,Rural,1,No,Moderate
959,2017,Vellore,Cyber Crime,Male,Night,Urban,2,No,Moderate
960,2014,Chennai,Sexual Crime,Male,Night,Semi-Urban,2,No,High
961,2018,Chennai,Violent Crime,Male,Evening,Urban,3,No,Moderate
962,2022,Thoothukudi,Property Crime,Female,Morning,Urban,3,No,Low
963,2014,Madurai,Economic Offense,Other,Morning,Rural,2,No,Low
964,2022,Tiruchirappalli,Sexual Crime,Male,Afternoon,Rural,2,Yes,Moderate
965,2024,Chennai,Cyber Crime,Male,Night,Semi-Urban,1,Yes,Low
966,2021,Thoothukudi,Sexual Crime,Female,Evening,Rural,5,Yes,High
967,2019,Tirunelveli,Cyber Crime,Male,Afternoon,Semi-Urban,1,No,Low
968,2020,Coimbatore,Sexual Crime,Other,Morning,Semi-Urban,2,Yes,Low
969,2016,Tirunelveli,Cyber Crime,Female,Morning,Semi-Urban,5,Yes,Low
970,2014,Erode,Violent Crime,Male,Evening,Semi-Urban,2,Yes,Low
971,2018,Vellore,Property Crime,Male,Afternoon,Rural,1,Yes,Very Low
972,2015,Chennai,Violent Crime,Female,Afternoon,Urban,1,Yes,Low
973,2018,Erode,Property Crime,Female,Evening,Urban,1,No,Very Low
974,2021,Dindigul,Violent Crime,Male,Evening,Rural,5,Yes,Moderate
975,2024,Erode,Violent Crime,Other,Afternoon,Rural,4,No,High
976,2022,Thoothukudi,Sexual Crime,Female,Morning,Semi-Urban,4,No,High
977,2015,Chennai,Economic Offense,Other,Night,Rural,2,Yes,Moderate
978,2016,Coimbatore,Cyber Crime,Male,Morning,Urban,5,No,Moderate
979,2016,Thoothukudi,Cyber Crime,Other,Evening,Rural,3,Yes,Moderate
980,2014,Thoothukudi,Cyber Crime,Male,Afternoon,Rural,4,No,Moderate
981,2021,Vellore,Property Crime,Male,Afternoon,Semi-Urban,5,No,Low
982,2019,Vellore,Cyber Crime,Male,Night,Semi-Urban,5,Yes,Moderate
983,2021,Tiruchirappalli,Cyber Crime,Male,Afternoon,Semi-Urban,4,No,Moderate
984,2024,Tiruchirappalli,Sexual Crime,Other,Night,Semi-Urban,5,No,Very High
985,2022,Salem,Violent Crime,Male,Morning,Urban,5,No,Moderate
986,2018,Madurai,Cyber Crime,Male,Morning,Rural,4,No,Moderate
987,2016,Chennai,Economic Offense,Other,Afternoon,Rural,1,No,Low
988,2018,Chennai,Cyber Crime,Female,Afternoon,Semi-Urban,2,No,Low
989,2018,Erode,Property Crime,Other,Evening,Urban,3,No,Low
990,2018,Chennai,Property Crime,Other,Evening,Urban,2,No,Very Low
991,2016,Chennai,Property Crime,Other,Afternoon,Rural,1,Yes,Very Low
992,2024,Madurai,Cyber Crime,Male,Afternoon,Semi-Urban,1,No,Low
993,2023,Dindigul,Sexual Crime,Male,Morning,Rural,5,Yes,High
994,2017,Tiruchirappalli,Economic Offense,Male,Afternoon,Rural,2,Yes,Low
995,2022,Tiruchirappalli,Cyber Crime,Female,Evening,Urban,1,No,Low
996,2023,Coimbatore,Sexual Crime,Male,Morning,Urban,2,No,Moderate
997,2022,Chennai,Sexual Crime,Female,Night,Rural,1,Yes,High
998,2015,Madurai,Cyber Crime,Male,Evening,Semi-Urban,3,Yes,Low
999,2021,Tiruchirappalli,Cyber Crime,Other,Evening,Semi-Urban,1,Yes,Very Low
1000,2021,Madurai,Sexual Crime,Male,Morning,Rural,2,No,Moderate
1001,2020,Tirunelveli,Sexual Crime,Female,Night,Rural,5,No,Very High
1002,2021,Dindigul,Sexual Crime,Female,Evening,Semi-Urban,2,No,Moderate
1003,2016,Chennai,Cyber Crime,Male,Afternoon,Semi-Urban,4,Yes,Low
1004,2019,Coimbatore,Sexual Crime,Other,Evening,Semi-Urban,2,No,Moderate
1005,2014,Erode,Property Crime,Male,Morning,Rural,3,No,Moderate
1006,2020,Tiruchirappalli,Cyber Crime,Male,Morning,Urban,3,No,Moderate
1007,2014,Tirunelveli,Property Crime,Male,Morning,Semi-Urban,3,No,Low
1008,2022,Madurai,Violent Crime,Other,Evening,Semi-Urban,1,Yes,Low
1009,2014,Vellore,Cyber Crime,Female,Night,Semi-Urban,3,No,High
1010,2014,Thoothukudi,Violent Crime,Other,Afternoon,Rural,2,No,Moderate
1011,2020,Chennai,Sexual Crime,Female,Morning,Urban,5,Yes,Moderate
1012,2015,Chennai,Sexual Crime,Female,Night,Urban,3,No,Very High
1013,2018,Tirunelveli,Economic Offense,Female,Afternoon,Semi-Urban,2,Yes,Very Low
1014,2021,Madurai,Sexual Crime,Other,Morning,Rural,1,Yes,Moderate
1015,2021,Salem,Violent Crime,Male,Afternoon,Urban,1,No,Low
1016,2016,Chennai,Sexual Crime,Male,Afternoon,Rural,5,Yes,High
1017,2020,Salem,Cyber Crime,Male,Night,Urban,5,No,High
1018,2016,Vellore,Sexual Crime,Male,Afternoon,Semi-Urban,2,Yes,Low
1019,2019,Tirunelveli,Economic Offense,Male,Morning,Rural,5,Yes,Moderate
1020,2019,Madurai,Sexual Crime,Other,Night,Semi-Urban,5,No,Very High
1021,2016,Madurai,Violent Crime,Other,Evening,Urban,1,Yes,Low
1022,2020,Dindigul,Violent Crime,Other,Evening,Urban,2,No,Low
1023,2016,Thoothukudi,Sexual Crime,Other,Night,Semi-Urban,5,No,Very High
1024,2021,Tiruchirappalli,Violent Crime,Other,Evening,Urban,2,No,Low
1025,2023,Tiruchirappalli,Violent Crime,Other,Afternoon,Semi-Urban,3,No,Moderate
1026,2017,Erode,Economic Offense,Other,Morning,Semi-Urban,1,Yes,Very Low
1027,2014,Coimbatore,Cyber Crime,Male,Afternoon,Semi-Urban,1,No,Low
1028,2017,Tirunelveli,Economic Offense,Female,Night,Urban,1,Yes,Low
1029,2020,Vellore,Property Crime,Other,Morning,Rural,4,No,Moderate
1030,2024,Madurai,Economic Offense,Female,Night,Semi-Urban,2,Yes,Low
1031,2017,Thoothukudi,Sexual Crime,Other,Night,Rural,3,Yes,Very High
1032,2019,Salem,Cyber Crime,Other,Night,Urban,5,Yes,Moderate
1033,2022,Tirunelveli,Sexual Crime,Male,Afternoon,Urban,3,Yes,Moderate
1034,2014,Erode,Property Crime,Female,Morning,Rural,2,No,Low
1035,2018,Tirunelveli,Cyber Crime,Male,Morning,Semi-Urban,1,No,Low
1036,2024,Erode,Violent Crime,Male,Morning,Urban,4,Yes,Moderate
1037,2020,Madurai,Economic Offense,Female,Afternoon,Semi-Urban,2,Yes,Very Low
1038,2014,Coimbatore,Sexual Crime,Male,Evening,Semi-Urban,2,No,Moderate
